concept_set_id,concept_set_name_ko,parent_concept_id,note
CL_ANASTOMOSIS_METHOD,CL_ANASTOMOSIS_METHOD,10000000316,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BALLOONING_GRADE,CL_BALLOONING_GRADE,10000000317,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_ADEQUACY,CL_BIOPSY_ADEQUACY,10000000318,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_DIFFERENTIATION,CL_BIOPSY_DIFFERENTIATION,10000000319,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_LATERALITY,CL_BIOPSY_LATERALITY,10000000320,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_METHOD,CL_BIOPSY_METHOD,10000000321,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_SITE,CL_BIOPSY_SITE,10000000322,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_BIOPSY_SITE_DETAIL,CL_BIOPSY_SITE_DETAIL,10000000323,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_CELL_LINEAGE,CL_CELL_LINEAGE,10000000324,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_CLINICAL_TUMOR_FEATURE,CL_CLINICAL_TUMOR_FEATURE,10000000325,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_COMPLICATION_TREATMENT,CL_COMPLICATION_TREATMENT,10000000326,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_CONCEPTION_METHOD,CL_CONCEPTION_METHOD,10000000327,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_CRM_STATUS,CL_CRM_STATUS,10000000328,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_DCIS_NUCLEAR_GRADE,CL_DCIS_NUCLEAR_GRADE,10000000329,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_DIAGNOSIS_STATUS,CL_DIAGNOSIS_STATUS,10000000330,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_DIAGNOSIS_SUBTYPE,CL_DIAGNOSIS_SUBTYPE,10000000331,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_DISTANT_METASTASIS_SITE,CL_DISTANT_METASTASIS_SITE,10000000332,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_EXTRANODAL_SITES,CL_EXTRANODAL_SITES,10000000333,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_FERTILITY_PRESERVATION_TYPE,CL_FERTILITY_PRESERVATION_TYPE,10000000334,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_GROSS_TYPE,CL_GROSS_TYPE,10000000335,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_HISTOLOGIC_SUBTYPE,CL_HISTOLOGIC_SUBTYPE,10000000336,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000337,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_IMA_LIGATION_LEVEL,CL_IMA_LIGATION_LEVEL,10000000338,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_INVASION_DEPTH,CL_INVASION_DEPTH,10000000339,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_LOBULAR_INFLAMMATION_GRADE,CL_LOBULAR_INFLAMMATION_GRADE,10000000341,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_LYMPHOMA_CATEGORY,CL_LYMPHOMA_CATEGORY,10000000342,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MARITAL_STATUS_DETAIL,CL_MARITAL_STATUS_DETAIL,10000000343,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MASLD_DIAGNOSIS_BASIS,CL_MASLD_DIAGNOSIS_BASIS,10000000344,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,10000000345,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MENSES_REGULARITY_AFTER_CHEMO,CL_MENSES_REGULARITY_AFTER_CHEMO,10000000346,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MRI_ANTERIOR_PERITONEAL_RELATION,CL_MRI_ANTERIOR_PERITONEAL_RELATION,10000000347,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MRI_CIRCUMFERENTIAL_EXTENT,CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000348,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MRI_CIRCUMFERENTIAL_LOCATION,CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000349,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MRI_T4B_INVADED_ORGAN,CL_MRI_T4B_INVADED_ORGAN,10000000350,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_MRI_TUMOR_REGRESSION_GRADE,CL_MRI_TUMOR_REGRESSION_GRADE,10000000351,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_NODULE_RADIOLOGIC_TYPE,CL_NODULE_RADIOLOGIC_TYPE,10000000352,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_OUTCOME_CONCEPT_ID,CL_OUTCOME_CONCEPT_ID,10000000353,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_PERITONEAL_CYTOLOGY_RESULT,CL_PERITONEAL_CYTOLOGY_RESULT,10000000354,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_PREGNANCY_OUTCOME,CL_PREGNANCY_OUTCOME,10000000355,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_PRIMARY_INVOLVED_SITE,CL_PRIMARY_INVOLVED_SITE,10000000356,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_PRIMARY_SIDEDNESS,CL_PRIMARY_SIDEDNESS,10000000357,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_PRIMARY_SITE,CL_PRIMARY_SITE,10000000358,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_RESECTION_COMPLETENESS,CL_RESECTION_COMPLETENESS,10000000359,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_RESECTION_MARGIN_STATUS,CL_RESECTION_MARGIN_STATUS,10000000360,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_RESIDUAL_TUMOR_R_CLASS,CL_RESIDUAL_TUMOR_R_CLASS,10000000361,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_STAGING_METHOD,CL_STAGING_METHOD,10000000362,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_STOMA_REASON,CL_STOMA_REASON,10000000363,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_SURGICAL_HISTOLOGIC_GRADE,CL_SURGICAL_HISTOLOGIC_GRADE,10000000364,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_SURGICAL_SPECIMEN_LATERALITY,CL_SURGICAL_SPECIMEN_LATERALITY,10000000365,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_SURGICAL_SPECIMEN_SITE,CL_SURGICAL_SPECIMEN_SITE,10000000366,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_TME_QUALITY,CL_TME_QUALITY,10000000367,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_TUMOR_BUDDING_GRADE,CL_TUMOR_BUDDING_GRADE,10000000368,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_VPI_GRADE,CL_VPI_GRADE,10000000369,2.1 에서 채움 (spec/v2_codelists_v21.py)
CL_WATCH_AND_WAIT_STATUS,CL_WATCH_AND_WAIT_STATUS,10000000370,2.1 에서 채움 (spec/v2_codelists_v21.py)
COMORBIDITY_SET,과거력 진단 목록,10000000732,SNOMED CT 로 확인 대기(MCP 연결 필요) · KCD 매핑은 병원 코드표 기준
DRUG_CLASS_SET,약물 계열 목록,10000000735,ATC(WHO) 분류. 국내 약물코드 매핑은 처방 데이터 기준
PFT_ITEM,폐기능검사 항목,10000000733,LOINC 2.80 로컬 파일에서 확인 (/Users/min/Research/standard_terminology/LOINC/Loinc_2.80/LoincTableCore/LoincTableCore.csv (2.80))
ALCOHOL,음주 이력 항목,10000000734,LOINC 2.80 로컬 파일에서 확인 (/Users/min/Research/standard_terminology/LOINC/Loinc_2.80/LoincTableCore/LoincTableCore.csv (2.80))
