concept_set_id,concept_id,code,label
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000742,LEPIDIC,인설상형(lepidic)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000743,ACINAR,선방형(acinar)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000744,PAPILLARY,유두형(papillary)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000745,MICROPAPILLARY,미세유두형(micropapillary)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000746,SOLID,고형형(solid)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000747,MUCINOUS,점액형(invasive mucinous)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000748,COLLOID,교질형(colloid)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000749,FETAL,태아형(fetal)
CL_ADENOCARCINOMA_PREDOMINANT_SUBTYPE,10000000750,ENTERIC,장형(enteric)
CL_ADVERSE_EVENT_TYPE_CONCEPT_ID,10000000751,REGISTRY,등록 서식 입력
CL_ADVERSE_EVENT_TYPE_CONCEPT_ID,10000000752,EHR,전자의무기록
CL_ADVERSE_EVENT_TYPE_CONCEPT_ID,10000000753,DERIVED,파생
CL_ANASTOMOSIS_METHOD,10000000754,STAPLED,문합기 사용
CL_ANASTOMOSIS_METHOD,10000000755,HAND_SEWN,수기 봉합
CL_ANASTOMOSIS_METHOD,10000000756,HYBRID,문합기+수기 병용
CL_BALLOONING_GRADE,10000001058,0,0(없음)
CL_BALLOONING_GRADE,10000001059,1,1(소수)
CL_BALLOONING_GRADE,10000001060,2,2(다수/현저)
CL_BIOPSY_ADEQUACY,10000000757,ADEQUATE,적정
CL_BIOPSY_ADEQUACY,10000000758,INADEQUATE,부적정·검체 부족
CL_BIOPSY_ADEQUACY,10000000759,NONDIAGNOSTIC,비진단적
CL_BIOPSY_DIFFERENTIATION,10000000760,WD,고분화(Grade 1)
CL_BIOPSY_DIFFERENTIATION,10000000761,MD,중분화(Grade 2)
CL_BIOPSY_DIFFERENTIATION,10000000762,PD,저분화(Grade 3)
CL_BIOPSY_DIFFERENTIATION,10000000763,UD,미분화·역형성(Grade 4)
CL_BIOPSY_DIFFERENTIATION,10000000764,GX,평가 불가
CL_BIOPSY_LATERALITY,10000000765,RIGHT,우측
CL_BIOPSY_LATERALITY,10000000766,LEFT,좌측
CL_BIOPSY_LATERALITY,10000000767,BILATERAL,양측
CL_BIOPSY_LATERALITY,10000000768,NA,해당없음
CL_BIOPSY_METHOD,10000000769,CORE,코어 생검(총생검)
CL_BIOPSY_METHOD,10000000770,FNA,세침흡인검사
CL_BIOPSY_METHOD,10000000771,EXCISION,절제생검
CL_BIOPSY_METHOD,10000000772,INCISION,절개생검
CL_BIOPSY_METHOD,10000000773,PUNCH,펀치생검
CL_BIOPSY_METHOD,10000000774,ENDOSCOPIC,내시경 생검
CL_BIOPSY_METHOD,10000000775,EBUS,기관지초음파 세침흡인(EBUS-TBNA)
CL_BIOPSY_METHOD,10000000776,IMAGE_GUIDED,영상유도 생검(CT/US)
CL_BIOPSY_METHOD,10000000777,VACUUM,진공보조 생검
CL_BIOPSY_METHOD,10000000778,SURGICAL,수술적 생검
CL_BIOPSY_METHOD,10000000779,OTHER,기타
CL_BIOPSY_SITE,10000000780,PRIMARY,원발 부위
CL_BIOPSY_SITE,10000000781,REGIONAL_NODE,국소 림프절
CL_BIOPSY_SITE,10000000782,DISTANT,원격 전이 부위
CL_BIOPSY_SITE,10000000783,OTHER,기타(직접 기재)
CL_BIOPSY_SITE_DETAIL,10000000784,RUL,우상엽
CL_BIOPSY_SITE_DETAIL,10000000785,RML,우중엽
CL_BIOPSY_SITE_DETAIL,10000000786,RLL,우하엽
CL_BIOPSY_SITE_DETAIL,10000000787,LUL,좌상엽
CL_BIOPSY_SITE_DETAIL,10000000788,LLL,좌하엽
CL_BIOPSY_SITE_DETAIL,10000000789,CECUM,맹장
CL_BIOPSY_SITE_DETAIL,10000000790,ASC_COLON,상행결장
CL_BIOPSY_SITE_DETAIL,10000000791,HEP_FLEX,간만곡부
CL_BIOPSY_SITE_DETAIL,10000000792,TRANS_COLON,횡행결장
CL_BIOPSY_SITE_DETAIL,10000000793,SPL_FLEX,비만곡부
CL_BIOPSY_SITE_DETAIL,10000000794,DESC_COLON,하행결장
CL_BIOPSY_SITE_DETAIL,10000000795,SIGMOID,S상결장
CL_BIOPSY_SITE_DETAIL,10000000796,RECTUM,직장
CL_CELL_LINEAGE,10000000797,B_CELL,B세포
CL_CELL_LINEAGE,10000000798,T_CELL,T세포
CL_CELL_LINEAGE,10000000799,NK_CELL,NK세포
CL_CELL_LINEAGE,10000000800,HRS,호지킨/리드-스턴버그세포
CL_CELL_LINEAGE,10000000801,UNCERTAIN,불명확·혼합
CL_CLINICAL_TUMOR_FEATURE,10000000802,PALPABLE,촉지되는 종괴
CL_CLINICAL_TUMOR_FEATURE,10000000803,NONPALPABLE,비촉지(영상 발견)
CL_CLINICAL_TUMOR_FEATURE,10000000804,SKIN_INVOLVEMENT,피부·흉벽 침범
CL_CLINICAL_TUMOR_FEATURE,10000000805,INFLAMMATORY,염증성 소견
CL_CLINICAL_TUMOR_FEATURE,10000000806,OBSTRUCTION,폐색
CL_CLINICAL_TUMOR_FEATURE,10000000807,PERFORATION,천공
CL_CLINICAL_TUMOR_FEATURE,10000000808,BLEEDING,출혈
CL_CLINICAL_TUMOR_FEATURE,10000000809,INCIDENTAL,무증상·우연 발견
CL_COMPLICATION_TREATMENT,10000000810,OBSERVATION,보존적 관찰
CL_COMPLICATION_TREATMENT,10000000811,MEDICAL,약물 치료
CL_COMPLICATION_TREATMENT,10000000812,ENDOSCOPIC,내시경적 시술
CL_COMPLICATION_TREATMENT,10000000813,REOPERATION,재수술
CL_COMPLICATION_TREATMENT,10000000814,DRAINAGE,경피적 배액
CL_CONCEPTION_METHOD,10000000815,NATURAL,자연 임신
CL_CONCEPTION_METHOD,10000000816,IVF,체외수정(IVF)
CL_CONCEPTION_METHOD,10000000817,IUI,자궁내 인공수정(IUI)
CL_CONCEPTION_METHOD,10000000818,OTHER_ART,기타 보조생식술
CL_CRM_STATUS,10000000819,NEGATIVE,음성(>1mm)
CL_CRM_STATUS,10000000820,POSITIVE,양성(≤1mm)
CL_CRM_STATUS,10000000821,NA,평가 불가
CL_DCIS_NUCLEAR_GRADE,10000000822,LOW,저등급(Grade 1)
CL_DCIS_NUCLEAR_GRADE,10000000823,INTERMEDIATE,중등도(Grade 2)
CL_DCIS_NUCLEAR_GRADE,10000000824,HIGH,고등급(Grade 3)
CL_DIAGNOSIS_STATUS,10000000825,CONFIRMED,확진
CL_DIAGNOSIS_STATUS,10000000826,SUSPECTED,의증
CL_DIAGNOSIS_STATUS,10000000827,RECURRENT,재발성
CL_DIAGNOSIS_STATUS,10000000828,EXCLUDED,배제됨
CL_DIAGNOSIS_SUBTYPE,10000000829,ADENO_NOS,선암종(NOS)
CL_DIAGNOSIS_SUBTYPE,10000000830,MUCINOUS,점액성 선암종
CL_DIAGNOSIS_SUBTYPE,10000000831,SIGNET_RING,인환세포암종
CL_DIAGNOSIS_SUBTYPE,10000000832,NEUROENDOCRINE,신경내분비암종
CL_DIAGNOSIS_SUBTYPE,10000000833,SCC,편평상피세포암종
CL_DIAGNOSIS_SUBTYPE,10000000834,OTHER,기타
CL_DISTANT_METASTASIS_SITE,10000000835,LIVER,간
CL_DISTANT_METASTASIS_SITE,10000000836,LUNG,폐
CL_DISTANT_METASTASIS_SITE,10000000837,BONE,골
CL_DISTANT_METASTASIS_SITE,10000000838,BRAIN,뇌
CL_DISTANT_METASTASIS_SITE,10000000839,ADRENAL,부신
CL_DISTANT_METASTASIS_SITE,10000000840,PERITONEUM,복막
CL_DISTANT_METASTASIS_SITE,10000000841,DISTANT_NODE,원격 림프절
CL_DISTANT_METASTASIS_SITE,10000000842,OTHER,기타
CL_EXTRANODAL_SITES,10000000843,GI,위장관
CL_EXTRANODAL_SITES,10000000844,BONE_MARROW,골수
CL_EXTRANODAL_SITES,10000000845,CNS,중추신경계
CL_EXTRANODAL_SITES,10000000846,SKIN,피부
CL_EXTRANODAL_SITES,10000000847,LUNG,폐
CL_EXTRANODAL_SITES,10000000848,LIVER,간
CL_EXTRANODAL_SITES,10000000849,BONE,골
CL_EXTRANODAL_SITES,10000000850,TESTIS,고환
CL_EXTRANODAL_SITES,10000000851,OTHER,기타
CL_FERTILITY_PRESERVATION_TYPE,10000000852,OOCYTE,난자 동결보존
CL_FERTILITY_PRESERVATION_TYPE,10000000853,EMBRYO,배아 동결보존
CL_FERTILITY_PRESERVATION_TYPE,10000000854,OVARIAN_TISSUE,난소조직 동결보존
CL_FERTILITY_PRESERVATION_TYPE,10000000855,GNRH_AGONIST,GnRH 작용제 난소기능 억제
CL_FERTILITY_PRESERVATION_TYPE,10000000856,OTHER,기타
CL_GROSS_TYPE,10000000857,TYPE1,제1형(용종형)
CL_GROSS_TYPE,10000000858,TYPE2,제2형(경계명확 궤양형)
CL_GROSS_TYPE,10000000859,TYPE3,제3형(침윤성 궤양형)
CL_GROSS_TYPE,10000000860,TYPE4,제4형(미만성 침윤형)
CL_GROSS_TYPE,10000000861,TYPE5,제5형(분류불능)
CL_HISTOLOGIC_SUBTYPE,10000000862,DLBCL,"미만성 거대B세포림프종(DLBCL, NOS)"
CL_HISTOLOGIC_SUBTYPE,10000000863,FL,여포림프종
CL_HISTOLOGIC_SUBTYPE,10000000864,MCL,외투세포림프종
CL_HISTOLOGIC_SUBTYPE,10000000865,MZL,변연부림프종
CL_HISTOLOGIC_SUBTYPE,10000000866,BL,버킷림프종
CL_HISTOLOGIC_SUBTYPE,10000000867,CHL,고전적 호지킨림프종
CL_HISTOLOGIC_SUBTYPE,10000000868,NLPHL,결절성 림프구우세형 호지킨림프종
CL_HISTOLOGIC_SUBTYPE,10000000869,PTCL_NOS,말초T세포림프종(NOS)
CL_HISTOLOGIC_SUBTYPE,10000000870,ALCL,역형성대세포림프종
CL_HISTOLOGIC_SUBTYPE,10000000871,NKTCL,비강형 NK/T세포림프종
CL_HISTOLOGIC_SUBTYPE,10000000872,OTHER,기타·미분류
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000873,0,0(추가 영상 필요)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000874,1,1(음성)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000875,2,2(양성 소견)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000876,3,3(양성 추정)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000877,4A,4A(낮은 악성 의심)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000878,4B,4B(중등도 악성 의심)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000879,4C,4C(높은 악성 의심)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000880,5,5(악성 고도 의심)
CL_IMAGING_DIAGNOSTIC_CLASSIFICATION,10000000881,6,6(조직검사 확인된 악성)
CL_IMA_LIGATION_LEVEL,10000000882,HIGH,고위 결찰(대동맥 기시부)
CL_IMA_LIGATION_LEVEL,10000000883,LOW,저위 결찰(좌결장동맥 원위부)
CL_INVASION_DEPTH,10000000884,TIS,상피내(Tis)
CL_INVASION_DEPTH,10000000885,T1,점막하층(T1)
CL_INVASION_DEPTH,10000000886,T2,고유근층(T2)
CL_INVASION_DEPTH,10000000887,T3,장막하·주위지방(T3)
CL_INVASION_DEPTH,10000000888,T4A,장측복막(T4a)
CL_INVASION_DEPTH,10000000889,T4B,주위 장기 침범(T4b)
CL_LOBULAR_INFLAMMATION_GRADE,10000001061,0,0(없음)
CL_LOBULAR_INFLAMMATION_GRADE,10000001062,1,"1(경도, <2 병소/배율시야)"
CL_LOBULAR_INFLAMMATION_GRADE,10000001063,2,"2(중등도, 2~4 병소/배율시야)"
CL_LOBULAR_INFLAMMATION_GRADE,10000001064,3,"3(중증, >4 병소/배율시야)"
CL_LYMPHOMA_CATEGORY,10000000890,HL,호지킨림프종
CL_LYMPHOMA_CATEGORY,10000000891,NHL_B,비호지킨림프종-B세포
CL_LYMPHOMA_CATEGORY,10000000892,NHL_T,비호지킨림프종-T/NK세포
CL_MARITAL_STATUS_DETAIL,10000000893,NEVER_MARRIED,미혼
CL_MARITAL_STATUS_DETAIL,10000000894,MARRIED,기혼
CL_MARITAL_STATUS_DETAIL,10000000895,DIVORCED,이혼
CL_MARITAL_STATUS_DETAIL,10000000896,WIDOWED,사별
CL_MARITAL_STATUS_DETAIL,10000000897,SEPARATED,별거
CL_MARITAL_STATUS_DETAIL,10000000898,OTHER,기타·동거 등
CL_MASLD_DIAGNOSIS_BASIS,10000000899,BIOPSY,간생검 확인
CL_MASLD_DIAGNOSIS_BASIS,10000000900,IMAGING,영상 지방간 소견 + 심장대사 위험인자
CL_MASLD_DIAGNOSIS_BASIS,10000000901,LFT_RISK,간효소 상승 + 위험인자
CL_MASLD_DIAGNOSIS_BASIS,10000000902,SCORE,비침습 점수 기반(FIB-4/NFS 등)
CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,10000000903,PRE,폐경 전
CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,10000000904,PERI,폐경이행기
CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,10000000905,POST,폐경 후
CL_MENOPAUSAL_STATUS_AT_DIAGNOSIS,10000000906,UNKNOWN,미확인
CL_MENSES_REGULARITY_AFTER_CHEMO,10000000907,REGULAR,규칙적
CL_MENSES_REGULARITY_AFTER_CHEMO,10000000908,IRREGULAR,불규칙적
CL_MENSES_REGULARITY_AFTER_CHEMO,10000000909,AMENORRHEA,무월경
CL_MRI_ANTERIOR_PERITONEAL_RELATION,10000000910,ABOVE,복막반전부 위
CL_MRI_ANTERIOR_PERITONEAL_RELATION,10000000911,AT,복막반전부
CL_MRI_ANTERIOR_PERITONEAL_RELATION,10000000912,BELOW,복막반전부 아래
CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000913,LT25,<25%
CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000914,25_50,25~50%
CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000915,50_75,50~75%
CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000916,GT75,>75%
CL_MRI_CIRCUMFERENTIAL_EXTENT,10000000917,CIRC,전둘레(360°)
CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000918,ANTERIOR,전방
CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000919,POSTERIOR,후방
CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000920,LEFT_LAT,좌측방
CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000921,RIGHT_LAT,우측방
CL_MRI_CIRCUMFERENTIAL_LOCATION,10000000922,CIRC,전둘레
CL_MRI_T4B_INVADED_ORGAN,10000000923,PROSTATE,전립선
CL_MRI_T4B_INVADED_ORGAN,10000000924,SEMINAL_VESICLE,정낭
CL_MRI_T4B_INVADED_ORGAN,10000000925,VAGINA,질
CL_MRI_T4B_INVADED_ORGAN,10000000926,UTERUS,자궁
CL_MRI_T4B_INVADED_ORGAN,10000000927,BLADDER,방광
CL_MRI_T4B_INVADED_ORGAN,10000000928,PELVIC_SIDEWALL,골반측벽
CL_MRI_T4B_INVADED_ORGAN,10000000929,SACRUM,천골
CL_MRI_T4B_INVADED_ORGAN,10000000930,OTHER,기타 인접 장기
CL_MRI_TUMOR_REGRESSION_GRADE,10000000931,MRTRG1,mrTRG1(완전반응)
CL_MRI_TUMOR_REGRESSION_GRADE,10000000932,MRTRG2,mrTRG2
CL_MRI_TUMOR_REGRESSION_GRADE,10000000933,MRTRG3,mrTRG3
CL_MRI_TUMOR_REGRESSION_GRADE,10000000934,MRTRG4,mrTRG4
CL_MRI_TUMOR_REGRESSION_GRADE,10000000935,MRTRG5,mrTRG5(반응 없음)
CL_NODULE_RADIOLOGIC_TYPE,10000000936,SOLID,고형(solid)
CL_NODULE_RADIOLOGIC_TYPE,10000000937,PART_SOLID,부분고형(part-solid)
CL_NODULE_RADIOLOGIC_TYPE,10000000938,GGN,간유리음영(pure GGN)
CL_OUTCOME_CONCEPT_ID,10000000939,RECOVERED,회복
CL_OUTCOME_CONCEPT_ID,10000000940,RECOVERED_SEQUELAE,후유증 동반 회복
CL_OUTCOME_CONCEPT_ID,10000000941,NOT_RECOVERED,미회복·진행중
CL_OUTCOME_CONCEPT_ID,10000000942,FATAL,사망
CL_OUTCOME_CONCEPT_ID,10000000943,UNKNOWN,불명
CL_PERITONEAL_CYTOLOGY_RESULT,10000000944,POSITIVE,양성
CL_PERITONEAL_CYTOLOGY_RESULT,10000000945,NEGATIVE,음성
CL_PERITONEAL_CYTOLOGY_RESULT,10000000946,INDETERMINATE,판정 불가·미시행
CL_PREGNANCY_OUTCOME,10000000947,LIVE_BIRTH,출산(생존아)
CL_PREGNANCY_OUTCOME,10000000948,STILLBIRTH,사산
CL_PREGNANCY_OUTCOME,10000000949,MISCARRIAGE,자연유산
